#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.036873   0.000022   0.073745   0.000044   0.271205   0.003033
1.773570   0.000109   0.031491   0.000042   0.635102   0.006366
2.834267   0.000162   0.023353   0.000041   0.856421   0.008577
3.672754   0.000204   0.019360   0.000041   1.033058   0.010342
4.389261   0.000239   0.016938   0.000041   1.180777   0.011819
5.026675   0.000271   0.015275   0.000041   1.309329   0.013104
5.607242   0.000300   0.014033   0.000041   1.425212   0.014262
6.144322   0.000327   0.013061   0.000041   1.531276   0.015323
6.646582   0.000352   0.012277   0.000041   1.629062   0.016301
7.120530   0.000376   0.011620   0.000041   1.721170   0.017222
7.595402   0.000400   0.012412   0.000041   1.611344   0.016122
8.107771   0.000425   0.013460   0.000041   1.485884   0.014866
8.667787   0.000453   0.014843   0.000041   1.347437   0.013481
9.292552   0.000485   0.016782   0.000041   1.191753   0.011923
10.013184   0.000521   0.019827   0.000041   1.008725   0.010091
10.898923   0.000565   0.025664   0.000041   0.779302   0.007796
