#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.023186   0.000021   0.046371   0.000042   0.431304   0.005100
1.185526   0.000079   0.021923   0.000041   0.912284   0.009154
1.923700   0.000116   0.016572   0.000041   1.206855   0.012094
2.513551   0.000146   0.013827   0.000041   1.446445   0.014488
3.019502   0.000171   0.012126   0.000041   1.649349   0.016516
3.469927   0.000193   0.010935   0.000041   1.828989   0.018311
3.879889   0.000214   0.010039   0.000041   1.992230   0.019943
4.258780   0.000233   0.009333   0.000040   2.142934   0.021450
4.612751   0.000251   0.008756   0.000040   2.284148   0.022862
4.946174   0.000267   0.008309   0.000040   2.407029   0.024090
5.284279   0.000284   0.008934   0.000040   2.238639   0.022404
5.647800   0.000302   0.009651   0.000040   2.072324   0.020738
6.043731   0.000322   0.010586   0.000041   1.889288   0.018906
6.483062   0.000344   0.011900   0.000041   1.680672   0.016817
6.984052   0.000369   0.013824   0.000041   1.446759   0.014476
7.584064   0.000399   0.017166   0.000041   1.165094   0.011657
