#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.030037   0.000022   0.060073   0.000043   0.332928   0.003806
1.580372   0.000099   0.028843   0.000041   0.693409   0.006952
2.570269   0.000149   0.021774   0.000041   0.918527   0.009200
3.361967   0.000188   0.018227   0.000041   1.097273   0.010986
4.041517   0.000222   0.015972   0.000041   1.252191   0.012535
4.646096   0.000252   0.014406   0.000041   1.388310   0.013895
5.196657   0.000280   0.013230   0.000041   1.511716   0.015129
5.705771   0.000305   0.012313   0.000041   1.624300   0.016255
6.181805   0.000329   0.011559   0.000041   1.730253   0.017314
6.630399   0.000352   0.010910   0.000041   1.833181   0.018343
7.077966   0.000374   0.011600   0.000041   1.724138   0.017251
7.559131   0.000398   0.012541   0.000041   1.594769   0.015956
8.082845   0.000424   0.013757   0.000041   1.453805   0.014545
8.663476   0.000453   0.015441   0.000041   1.295253   0.012959
9.326431   0.000486   0.017983   0.000041   1.112161   0.011126
10.121067   0.000526   0.022296   0.000041   0.897022   0.008974
